Country,popularity
australia,0.058823529411764705
canada,0.07194244604316546
china,0.12574850299401197
india,0.4583333333333333
mexico,0.2721518987341772
russia,0.08653846153846154
usa,0.08661417322834646
colombia,0.018633540372670808
france,0.16541353383458646
italy,0.09
japan,0.17525773195876287
philippines,0.24358974358974358
spain,0.13636363636363635
united_kingdom,0.07142857142857142
puerto_rico,0.032407407407407406
argentina,0.0625
germany,0.11009174311926606
israel,0.16326530612244897
paraguay,0.040268456375838924
south_korea,0.020833333333333332
taiwan,0.2441860465116279
ukraine,0.20833333333333334
chile,0.22627737226277372
dominican_republic,0.032467532467532464
indonesia,0.3392857142857143
peru,0.050314465408805034
thailand,0.02
turkey,0.16279069767441862
venezuela,0.04316546762589928
denmark,0.06944444444444445
egypt,0.06741573033707865
hong_kong,0.04938271604938271
ireland,0.06535947712418301
morocco,0.14414414414414414
netherlands,0.08955223880597014
norway,0.13043478260869565
portugal,0.46938775510204084
vietnam,0.25333333333333335
bolivia,0.04938271604938271
bulgaria,0.15873015873015872
costa_rica,0.054878048780487805
ecuador,0.018867924528301886
el_salvador,0.04487179487179487
greece,0.14925373134328357
guatemala,0.15584415584415584
honduras,0.04375
malaysia,0.1411764705882353
panama,0.027210884353741496
poland,0.06329113924050633
sweden,0.08130081300813008
austria,0.12903225806451613
finland,0.041666666666666664
hungary,0.08791208791208792
iceland,0.3064516129032258
lithuania,0.11538461538461539
new_zealand,0.07936507936507936
nicaragua,0.04487179487179487
romania,0.0975609756097561
singapore,0.10227272727272728
south_africa,0.15671641791044777
switzerland,0.09027777777777778
uruguay,0.042735042735042736
czech_republic,0.07086614173228346
mongolia,0.06692913385826772
pakistan,0.27722772277227725
saudi_arabia,0.1792452830188679
brazil,0.7155963302752294
