Country,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other
portugal,0.1326530612244898,0.07142857142857142,0.2857142857142857,0.04081632653061224,0.0,0.46938775510204084
vietnam,0.25333333333333335,0.0,0.4666666666666667,0.02666666666666667,0.0,0.25333333333333335
bolivia,0.3148148148148148,0.0,0.17901234567901234,0.012345679012345678,0.4444444444444444,0.04938271604938271
bulgaria,0.23809523809523808,0.05555555555555555,0.4126984126984127,0.1349206349206349,0.0,0.15873015873015872
costa_rica,0.31097560975609756,0.0,0.1524390243902439,0.012195121951219513,0.4695121951219512,0.054878048780487805
ecuador,0.32075471698113206,0.0,0.14465408805031446,0.0,0.5157232704402516,0.018867924528301886
el_salvador,0.3269230769230769,0.0,0.10897435897435898,0.0,0.5192307692307693,0.04487179487179487
greece,0.7014925373134329,0.0,0.14925373134328357,0.0,0.0,0.14925373134328357
guatemala,0.2727272727272727,0.0,0.11038961038961038,0.0,0.461038961038961,0.15584415584415584
honduras,0.3125,0.0,0.10625,0.0,0.5375,0.04375
malaysia,0.10588235294117647,0.023529411764705882,0.6941176470588235,0.03529411764705882,0.0,0.1411764705882353
panama,0.3401360544217687,0.0,0.1360544217687075,0.0,0.4965986394557823,0.027210884353741496
poland,0.4810126582278481,0.11392405063291139,0.26582278481012656,0.0759493670886076,0.0,0.06329113924050633
sweden,0.25203252032520324,0.13821138211382114,0.4959349593495935,0.032520325203252036,0.0,0.08130081300813008
austria,0.3010752688172043,0.1827956989247312,0.3010752688172043,0.06451612903225806,0.021505376344086023,0.12903225806451613
finland,0.28125,0.052083333333333336,0.5520833333333334,0.07291666666666667,0.0,0.041666666666666664
hungary,0.1978021978021978,0.23076923076923078,0.3626373626373626,0.0989010989010989,0.02197802197802198,0.08791208791208792
iceland,0.1774193548387097,0.03225806451612903,0.3790322580645161,0.08870967741935484,0.016129032258064516,0.3064516129032258
lithuania,0.21153846153846154,0.17307692307692307,0.3942307692307692,0.10576923076923077,0.0,0.11538461538461539
new_zealand,0.3492063492063492,0.031746031746031744,0.38095238095238093,0.15873015873015872,0.0,0.07936507936507936
nicaragua,0.3269230769230769,0.0,0.09615384615384616,0.0,0.532051282051282,0.04487179487179487
romania,0.1951219512195122,0.17073170731707318,0.43902439024390244,0.0975609756097561,0.0,0.0975609756097561
singapore,0.13636363636363635,0.03409090909090909,0.6818181818181818,0.045454545454545456,0.0,0.10227272727272728
south_africa,0.34328358208955223,0.029850746268656716,0.44029850746268656,0.029850746268656716,0.0,0.15671641791044777
switzerland,0.2708333333333333,0.1736111111111111,0.4097222222222222,0.041666666666666664,0.013888888888888888,0.09027777777777778
uruguay,0.42735042735042733,0.0,0.2564102564102564,0.0,0.27350427350427353,0.042735042735042736
czech_republic,0.33070866141732286,0.16535433070866143,0.28346456692913385,0.13385826771653545,0.015748031496062992,0.07086614173228346
mongolia,0.4251968503937008,0.0,0.4448818897637795,0.06299212598425197,0.0,0.06692913385826772
pakistan,0.31683168316831684,0.009900990099009901,0.38613861386138615,0.009900990099009901,0.0,0.27722772277227725
saudi_arabia,0.10377358490566038,0.0660377358490566,0.5377358490566038,0.11320754716981132,0.0,0.1792452830188679
brazil,0.08256880733944955,0.0,0.1834862385321101,0.01834862385321101,0.0,0.7155963302752294
