Country,popularity
australia,0.22794117647058823
canada,0.2805755395683453
china,0.0658682634730539
india,0.20833333333333334
mexico,0.24050632911392406
russia,0.25961538461538464
usa,0.3858267716535433
colombia,0.3105590062111801
france,0.3533834586466165
italy,0.47
japan,0.0
philippines,0.2692307692307692
spain,0.4090909090909091
united_kingdom,0.19480519480519481
puerto_rico,0.36574074074074076
argentina,0.4609375
germany,0.3761467889908257
israel,0.22448979591836735
paraguay,0.3691275167785235
south_korea,0.22916666666666666
taiwan,0.03488372093023256
ukraine,0.3194444444444444
chile,0.3357664233576642
dominican_republic,0.34415584415584416
indonesia,0.08928571428571429
peru,0.3270440251572327
thailand,0.14
turkey,0.6046511627906976
venezuela,0.3237410071942446
denmark,0.2222222222222222
egypt,0.5842696629213483
hong_kong,0.024691358024691357
ireland,0.1568627450980392
morocco,0.46846846846846846
netherlands,0.09701492537313433
norway,0.14130434782608695
portugal,0.1326530612244898
vietnam,0.25333333333333335
bolivia,0.3148148148148148
bulgaria,0.23809523809523808
costa_rica,0.31097560975609756
ecuador,0.32075471698113206
el_salvador,0.3269230769230769
greece,0.7014925373134329
guatemala,0.2727272727272727
honduras,0.3125
malaysia,0.10588235294117647
panama,0.3401360544217687
poland,0.4810126582278481
sweden,0.25203252032520324
austria,0.3010752688172043
finland,0.28125
hungary,0.1978021978021978
iceland,0.1774193548387097
lithuania,0.21153846153846154
new_zealand,0.3492063492063492
nicaragua,0.3269230769230769
romania,0.1951219512195122
singapore,0.13636363636363635
south_africa,0.34328358208955223
switzerland,0.2708333333333333
uruguay,0.42735042735042733
czech_republic,0.33070866141732286
mongolia,0.4251968503937008
pakistan,0.31683168316831684
saudi_arabia,0.10377358490566038
brazil,0.08256880733944955
