Country,popularity
australia,0.11029411764705882
canada,0.08633093525179857
china,0.1377245508982036
india,0.008333333333333333
mexico,0.0
russia,0.08653846153846154
usa,0.015748031496062992
colombia,0.0
france,0.045112781954887216
italy,0.07
japan,0.010309278350515464
philippines,0.0
spain,0.0
united_kingdom,0.16233766233766234
puerto_rico,0.0023148148148148147
argentina,0.0
germany,0.1651376146788991
israel,0.0
paraguay,0.0
south_korea,0.0
taiwan,0.0
ukraine,0.0
chile,0.0
dominican_republic,0.0
indonesia,0.0
peru,0.0
thailand,0.0
turkey,0.0
venezuela,0.0
denmark,0.1111111111111111
egypt,0.0
hong_kong,0.0
ireland,0.20261437908496732
morocco,0.009009009009009009
netherlands,0.291044776119403
norway,0.1956521739130435
portugal,0.07142857142857142
vietnam,0.0
bolivia,0.0
bulgaria,0.05555555555555555
costa_rica,0.0
ecuador,0.0
el_salvador,0.0
greece,0.0
guatemala,0.0
honduras,0.0
malaysia,0.023529411764705882
panama,0.0
poland,0.11392405063291139
sweden,0.13821138211382114
austria,0.1827956989247312
finland,0.052083333333333336
hungary,0.23076923076923078
iceland,0.03225806451612903
lithuania,0.17307692307692307
new_zealand,0.031746031746031744
nicaragua,0.0
romania,0.17073170731707318
singapore,0.03409090909090909
south_africa,0.029850746268656716
switzerland,0.1736111111111111
uruguay,0.0
czech_republic,0.16535433070866143
mongolia,0.0
pakistan,0.009900990099009901
saudi_arabia,0.0660377358490566
brazil,0.0
